Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.144,"urn:cite:hmt:vaimg.VA157RN-0328@0.1502,0.547,0.4344,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.145,"urn:cite:hmt:vaimg.VA157RN-0328@0.1632,0.5627,0.4214,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:12.146,"urn:cite:hmt:vaimg.VA157RN-0328@0.1632,0.5823,0.3994,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.147,"urn:cite:hmt:vaimg.VA157RN-0328@0.1652,0.6041,0.4284,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.148,"urn:cite:hmt:vaimg.VA157RN-0328@0.1622,0.6198,0.3974,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.149,"urn:cite:hmt:vaimg.VA157RN-0328@0.1592,0.6401,0.4364,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.150,"urn:cite:hmt:vaimg.VA157RN-0328@0.1652,0.6589,0.4364,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.151,"urn:cite:hmt:vaimg.VA157VN-0659@0.5086,0.2216,0.3737,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:12.152,"urn:cite:hmt:vaimg.VA157VN-0659@0.508,0.2416,0.3997,0.0262"
urn:cts:greekLit:tlg0012.tlg001.msA:12.153,"urn:cite:hmt:vaimg.VA157VN-0659@0.5065,0.2644,0.3836,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:12.154,"urn:cite:hmt:vaimg.VA157VN-0659@0.5075,0.2787,0.3824,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.155,"urn:cite:hmt:vaimg.VA157VN-0659@0.4968,0.299,0.3957,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:12.156,"urn:cite:hmt:vaimg.VA157VN-0659@0.5134,0.319,0.3857,0.0319"
urn:cts:greekLit:tlg0012.tlg001.msA:12.157,"urn:cite:hmt:vaimg.VA157VN-0659@0.5102,0.3397,0.3927,0.0247"
urn:cts:greekLit:tlg0012.tlg001.msA:12.158,"urn:cite:hmt:vaimg.VA157VN-0659@0.5085,0.3569,0.4034,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.159,"urn:cite:hmt:vaimg.VA157VN-0659@0.5059,0.3769,0.3772,0.0251"
urn:cts:greekLit:tlg0012.tlg001.msA:12.160,"urn:cite:hmt:vaimg.VA157VN-0659@0.513,0.395,0.4136,0.025"
urn:cts:greekLit:tlg0012.tlg001.msA:12.161,"urn:cite:hmt:vaimg.VA157VN-0659@0.5075,0.411,0.4254,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.162,"urn:cite:hmt:vaimg.VA157VN-0659@0.5074,0.4326,0.3759,0.0265"
urn:cts:greekLit:tlg0012.tlg001.msA:12.163,"urn:cite:hmt:vaimg.VA157VN-0659@0.5101,0.4504,0.3933,0.0244"
urn:cts:greekLit:tlg0012.tlg001.msA:12.164,"urn:cite:hmt:vaimg.VA157VN-0659@0.5043,0.47,0.4054,0.0299"
urn:cts:greekLit:tlg0012.tlg001.msA:12.165,"urn:cite:hmt:vaimg.VA157VN-0659@0.5073,0.489,0.4041,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.166,"urn:cite:hmt:vaimg.VA157VN-0659@0.5125,0.5057,0.411,0.0292"
urn:cts:greekLit:tlg0012.tlg001.msA:12.167,"urn:cite:hmt:vaimg.VA157VN-0659@0.5112,0.5245,0.3801,0.026"
urn:cts:greekLit:tlg0012.tlg001.msA:12.168,"urn:cite:hmt:vaimg.VA157VN-0659@0.5098,0.5456,0.3691,0.0227"
urn:cts:greekLit:tlg0012.tlg001.msA:12.169,"urn:cite:hmt:vaimg.VA157VN-0659@0.5114,0.5651,0.4191,0.0224"
urn:cts:greekLit:tlg0012.tlg001.msA:12.170,"urn:cite:hmt:vaimg.VA157VN-0659@0.5094,0.5821,0.4001,0.0287"
urn:cts:greekLit:tlg0012.tlg001.msA:12.171,"urn:cite:hmt:vaimg.VA157VN-0659@0.5096,0.6037,0.3894,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:12.172,"urn:cite:hmt:vaimg.VA157VN-0659@0.5095,0.6233,0.43,0.0282"
urn:cts:greekLit:tlg0012.tlg001.msA:12.173,"urn:cite:hmt:vaimg.VA157VN-0659@0.5114,0.6381,0.4257,0.0292"
urn:cts:greekLit:tlg0012.tlg001.msA:12.174,"urn:cite:hmt:vaimg.VA157VN-0659@0.5141,0.6583,0.401,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:12.175,"urn:cite:hmt:vaimg.VA157VN-0659@0.4862,0.676,0.4531,0.0319"
urn:cts:greekLit:tlg0012.tlg001.msA:12.176,"urn:cite:hmt:vaimg.VA158RN-0329@0.1603,0.2023,0.4409,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.177,"urn:cite:hmt:vaimg.VA158RN-0329@0.1563,0.2233,0.4409,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.178,"urn:cite:hmt:vaimg.VA158RN-0329@0.1563,0.2421,0.4409,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.179,"urn:cite:hmt:vaimg.VA158RN-0329@0.1503,0.2602,0.3898,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.180,"urn:cite:hmt:vaimg.VA158RN-0329@0.1493,0.2767,0.4539,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.181,"urn:cite:hmt:vaimg.VA158RN-0329@0.1754,0.2955,0.4198,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.182,"urn:cite:hmt:vaimg.VA158RN-0329@0.1754,0.3158,0.4198,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.183,"urn:cite:hmt:vaimg.VA158RN-0329@0.1764,0.3331,0.4349,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.184,"urn:cite:hmt:vaimg.VA158RN-0329@0.1764,0.3519,0.4138,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:12.185,"urn:cite:hmt:vaimg.VA158RN-0329@0.1693,0.3699,0.3908,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:12.186,"urn:cite:hmt:vaimg.VA158RN-0329@0.1693,0.388,0.4499,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:12.187,"urn:cite:hmt:vaimg.VA158RN-0329@0.1713,0.409,0.4399,0.0323"
