Passage	Sign
urn:cts:greekLit:tlg0012.tlg001.msA:2.498	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.500	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.502	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.507	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.511	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.517	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.520	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.527	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.528	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.529	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.530	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.532	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.547	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.553	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.570	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.571	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.579	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.580	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.581	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.582	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.590	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.592	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.596	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.597	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.599	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.603	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.605	urn:cite:hmt:critsigns.diple
